id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
778451710122360367,Copacabana,Casa/Apto Inteiro,4,1.0,184.0,Baixo,-22.970933,-43.1876107,5.0,5,f
1282918699715107444,Recreio dos Bandeirantes,Casa/Apto Inteiro,6,2.0,313.0,Médio-Baixo,-23.02366615280082,-43.51440110849007,5.0,10,f
30085946,Ipanema,Casa/Apto Inteiro,4,1.0,339.0,Médio-Baixo,-22.98319,-43.2017,4.81,62,t
924714765455848324,Tijuca,Quarto Privado,2,2.0,,,-22.92498291336921,-43.23775763289324,,0,f
1298095915892844319,Copacabana,Casa/Apto Inteiro,8,3.0,751.0,Médio,-22.96383,-43.17693,,0,f
13855342,Ipanema,Casa/Apto Inteiro,7,3.0,3000.0,Alto,-22.9866,-43.19356,,0,f
19141894,Flamengo,Casa/Apto Inteiro,2,1.0,121.0,Muito Baixo,-22.92814,-43.17578,4.84,174,t
1389830744598240586,Estácio,Quarto Privado,1,1.0,126.0,Muito Baixo,-22.9147561,-43.2049996,,0,f
1080637163388739649,Leblon,Casa/Apto Inteiro,4,2.0,285.0,Baixo,-22.97950859486473,-43.22491048117716,4.2,5,f
730658,Santa Teresa,Quarto Privado,3,1.0,250.0,Baixo,-22.93915,-43.2079,4.81,91,f
777444030596629510,Recreio dos Bandeirantes,Quarto Privado,2,1.0,1000.0,Médio,-23.0287562,-43.476905,5.0,1,f
16373720,Glória,Quarto Privado,2,1.0,279.0,Baixo,-22.91666,-43.17599,4.86,37,t
1144103025784511463,Barra da Tijuca,Casa/Apto Inteiro,5,2.0,818.0,Médio,-23.0145087,-43.3033175,4.98,42,t
47179769,São Conrado,Casa/Apto Inteiro,2,1.0,600.0,Médio,-22.99281,-43.25449,5.0,2,f
1420330202530938403,Centro,Quarto Privado,2,1.0,59.0,Muito Baixo,-22.909399,-43.193728,5.0,1,f
1332650073764304430,Copacabana,Casa/Apto Inteiro,4,1.0,287.0,Baixo,-22.96635,-43.18106,5.0,21,t
38928504,Copacabana,Casa/Apto Inteiro,6,2.0,293.0,Baixo,-22.96593,-43.17761,4.94,159,t
684733693129474931,Barra da Tijuca,Casa/Apto Inteiro,2,1.0,194.0,Baixo,-23.0052,-43.33995,4.95,78,t
3191383,Santa Teresa,Casa/Apto Inteiro,2,1.0,300.0,Baixo,-22.92213,-43.18611,5.0,4,f
1155743409594270494,Centro,Casa/Apto Inteiro,2,1.0,171.0,Baixo,-22.9001411,-43.1799214,4.32,19,f
1437890337535328446,Copacabana,Casa/Apto Inteiro,5,1.0,280.0,Baixo,-22.9803958,-43.190829,5.0,1,f
3043505,Tijuca,Quarto Privado,2,1.0,290.0,Baixo,-22.92088,-43.23038,,0,f
1421721731018772968,Santa Teresa,Quarto Privado,2,1.0,129.0,Muito Baixo,-22.923646416643997,-43.191793266076914,,0,f
1410983299382407599,Leme,Casa/Apto Inteiro,3,1.0,260.0,Baixo,-22.9624967,-43.1703159,4.0,1,f
1384206309502854544,Humaitá,Casa/Apto Inteiro,4,2.0,485.0,Médio-Baixo,-22.9592324513211,-43.20213754998869,5.0,3,t
